"DEP,C,3","NCCENR,C,70","NCCCT,C,70"
2,Brancourt-le-Grand,Bohain-en-Vermandois
2,Branges,
2,Brasles,Chƒteau-Thierry
2,Braye-en-Laonnois,Craonne
2,Braye-en-Thi‚rache,Vervins
2,Bray-Saint-Christophe,Saint-Simon
2,Braye,Vailly-sur-Aisne
2,Br‚cy,FŠre-en-Tardenois
2,Brenelle,Braine
2,Breny,Oulchy-le-Chƒteau
2,Brie,FŠre
2,Brissay-Choigny,Mo˜-de-l'Aisne
2,Brissy-Ham‚gicourt,Mo˜-de-l'Aisne
2,Brumetz,Neuilly-Saint-Front
2,Brunehamel,Rozoy-sur-Serre
2,BruyŠres-sur-FŠre,FŠre-en-Tardenois
2,BruyŠres-et-Montb‚rault,Laon-Sud
2,Bruys,Braine
2,Bucilly,Hirson
2,Bucy-le-Long,Vailly-sur-Aisne
2,Bucy-lŠs-Cerny,Laon-Nord
2,Bucy-lŠs-Pierrepont,Sissonne
2,Buire,Hirson
2,Buironfosse,Capelle
2,Burelles,Vervins
2,Bussiares,Neuilly-Saint-Front
2,Buzancy,Oulchy-le-Chƒteau
2,Caillou‰l-Cr‚pigny,Chauny
2,Camelin,Coucy-le-Chƒteau-Auffrique
2,Capelle,Capelle
2,Castres,Saint-Simon
2,Catelet,Catelet
2,Caulaincourt,Vermand
2,Caumont,Chauny
2,Celles-lŠs-Cond‚,Cond‚-en-Brie
2,Celle-sous-Montmirail,Cond‚-en-Brie
2,Celles-sur-Aisne,Vailly-sur-Aisne
2,Cerizy,Mo˜-de-l'Aisne
2,Cerny-en-Laonnois,Craonne
2,Cerny-lŠs-Bucy,Laon-Nord
2,Cerseuil,Braine
2,CessiŠres,Anizy-le-Chƒteau
2,Chacrise,Oulchy-le-Chƒteau
2,Chaillevois,Anizy-le-Chƒteau
2,Chalandry,Cr‚cy-sur-Serre
2,Chambry,Laon-Nord
2,Chamouille,Craonne
2,Champs,Coucy-le-Chƒteau-Auffrique
2,Chaourse,Rozoy-sur-Serre
2,Chapelle-Monthodon,Cond‚-en-Brie
2,Chapelle-sur-Ch‚zy,Charly
2,Charly,Charly
2,Charmel,FŠre-en-Tardenois
2,Charmes,FŠre
2,ChartŠves,Cond‚-en-Brie
2,Chassemy,Braine
2,Chƒteau-Thierry,Chƒteau-Thierry
2,Chƒtillon-lŠs-Sons,Marle
2,Chƒtillon-sur-Oise,Mo˜-de-l'Aisne
2,Chaudardes,Neufchƒtel-sur-Aisne
2,Chaudun,Oulchy-le-Chƒteau
2,Chauny,Chauny
2,Chavignon,Vailly-sur-Aisne
2,Chavigny,Soissons-Nord
2,Chavonne,Vailly-sur-Aisne
2,Ch‚rˆt,Laon-Sud
2,Chermizy-Ailles,Craonne
2,Ch‚ry-Chartreuve,Braine
2,Ch‚ry-lŠs-Pouilly,Cr‚cy-sur-Serre
2,Ch‚ry-lŠs-Rozoy,Rozoy-sur-Serre
2,Chevennes,Sains-Richaumont
2,Chevregny,Anizy-le-Chƒteau
2,Chevresis-Monceau,Ribemont
2,Ch‚zy-en-Orxois,Neuilly-Saint-Front
2,Ch‚zy-sur-Marne,Charly
2,Chierry,Chƒteau-Thierry
2,Chigny,Capelle
2,Chivres-en-Laonnois,Sissonne
2,Chivres-Val,Vailly-sur-Aisne
2,Chivy-lŠs-touvelles,Laon-Sud
2,Chouy,Neuilly-Saint-Front
2,Cierges,FŠre-en-Tardenois
2,Cilly,Marle
2,Ciry-Salsogne,Braine
2,Clacy-et-Thierret,Laon-Sud
2,Clairfontaine,Capelle
2,Clamecy,Vailly-sur-Aisne
2,Clastres,Saint-Simon
2,Clermont-les-Fermes,Rozoy-sur-Serre
2,Coeuvres-et-Valsery,Vic-sur-Aisne
2,Cohan,
2,Coincy,FŠre-en-Tardenois
2,Coingt,Aubenton
2,Colligis-Crandelain,Craonne
2,Colonfay,Sains-Richaumont
2,Commenchon,Chauny
2,Concevreux,Neufchƒtel-sur-Aisne
2,Cond‚-en-Brie,Cond‚-en-Brie
2,Cond‚-sur-Aisne,Vailly-sur-Aisne
2,Cond‚-sur-Suippe,Neufchƒtel-sur-Aisne
2,Condren,Chauny
2,Connigis,Cond‚-en-Brie
2,Contescourt,Saint-Simon
2,Corbeny,Craonne
2,Corcy,Villers-Cotterˆts
2,Coucy-le-Chƒteau-Auffrique,Coucy-le-Chƒteau-Auffrique
2,Coucy-lŠs-Eppes,Sissonne
2,Coucy-la-Ville,Coucy-le-Chƒteau-Auffrique
2,Coulonges-Cohan,FŠre-en-Tardenois
2,Coupru,Charly
2,Courbes,FŠre
2,Courboin,Cond‚-en-Brie
2,Courcelles-sur-Vesles,Braine
2,Courchamps,Neuilly-Saint-Front
2,Courmelles,Soissons-Sud
2,Courmont,FŠre-en-Tardenois
2,Courtemont-Varennes,Cond‚-en-Brie
2,Courtrizy-et-Fussigny,Sissonne
2,Couvrelles,Braine
2,Couvron-et-Aumencourt,Cr‚cy-sur-Serre
2,Coyolles,Villers-Cotterˆts
2,Cramaille,Oulchy-le-Chƒteau
2,Craonne,Craonne
2,Craonnelle,Craonne
2,Cr‚cy-au-Mont,Coucy-le-Chƒteau-Auffrique
2,Cr‚cy-sur-Serre,Cr‚cy-sur-Serre
2,Cr‚py,Laon-Nord
2,Cr‚zancy,Cond‚-en-Brie
2,Croix-Fonsommes,Bohain-en-Vermandois
